suid,capturetime,headline,all_topics,all_people,flagged_people_ids,flagged_people_keys,score,relevant,autolabeler_id
OYCAWW6S9729,2017-10-24T18:19:44.753+00:00,"*FED CHAIR DIDN'T COME UP IN TRUMP TALK, SEN. INHOFE SAYS",ACEXCLUDE;HEADS;US;EXE;RIF;BIZNEWS;USGOV;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ACEXCLUDE;REGIONFILT;GEN;HEADS;POLIRISK;WORLD;US;EXE;RIF;DEBTKEY;SPREGIONS;BIZNEWS;USGOV;BGOVCODES;DEVECO;SRCRANK1;BONDWIRES;MISC;G7MEMB;G10MEMB;CONEWS;FXKEY;GOV;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BZNEWS;CREDITKEY;BGOVBILLGO,1252249;17318383,1252249,trump1,-9999,0,5cd46a6d4fc347a6863e77e08f2b0667
OYCBH76JTSE8,2017-10-24T18:31:56.093+00:00,*TRUMP ASKED SENATE GOP FOR SHOW-OF-HANDS POLL ON FED: CORNYN,ACEXCLUDE;USECO;HEADS;CEN;CECO;FIRSTWORD;US;EXE;RIF;BIZNEWS;USGOV;BUSINESS;TRANEXE;BFWDC;GOVMISC;GOV;BFW;NORTHAM;MSCINAMER;BFWGOV;MSCIWORLD;ECO;G7ECOS;FED;TAX;FINNEWS;METALKEY;G8;ACEXCLUDE;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;FIRSTWORD;WORLD;US;EXE;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;TRANEXE;BGOVCODES;AGRKEY;BFWDC;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;FXKEY;FIALL;GOV;REPPARTY;OILKEY;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;ECO;G7ECOS;POL;FED;TAX;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,1252249;17318383,1252249,trump1,-9999,0,7036199375244293af965ccb6f7f2dd4
OYE6086JIJUO,2017-10-25T18:28:56.625+00:00,*TRUMP IS SAID TO DECIDE AGAINST GARY COHN FOR FED CHAIRMAN,BFWFI;HOT;ACEXCLUDE;USECO;HEADS;CEN;CECO;FIRSTWORD;US;EXE;BFWRTUS;RIF;BIZNEWS;USGOV;BUSINESS;TRANEXE;BFWFX;TOPBFW;BFWDC;MARKETS;GOVMISC;FXKEY;GOV;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;BFWRATE;ALLHOT;ECO;G7ECOS;FED;BFWCREDUS;FINNEWS;TOP;METALKEY;CLNEWS;BFWFI;G8;HOT;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;SAIDTO;FIRSTWORD;WORLD;US;EXE;BFWRTUS;MTGEKEY;RIF;DEBTKEY;FLASHG7;SPREGIONS;BFWCRED;BIZNEWS;USGOV;BUSINESS;NRGKEY;TRANEXE;BFWFX;BGOVCODES;TOPBFW;AGRKEY;BFWDC;DEVECO;MARKETS;SRCRANK1;GOVMISC;BONDWIRES;INEQUITY;ANON;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;MAJOR;FXKEY;FIALL;INMONEY;GOV;OILKEY;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;TIMECO;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;BFWRATE;TIMENI;ALLHOT;RUNEWS;ECO;G7ECOS;BFWTOPFEED;FED;BFWCREDUS;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS;BFWFOCUS;TOP,1252249;17318383;4736079,1252249;4736079,trump1;cohn,-9999,0,86a11125c6d34be4907d6c9e940e5a64
OYHP1H6KLVR6,2017-10-27T16:12:53.866+00:00,*TRUMP IS SAID EXPECTED TO ANNOUNCE FED CHAIR PICK NEXT WEEK: DJ,ACEXCLUDE;HEADS;RIF;BIZNEWS;ACEXCLUDE;REGIONFILT;HEADS;RIF;BIZNEWS;BGOVCODES;SRCRANK1;BONDWIRES;MISC;CONEWS;BGOVBILLGO,1252249;7564212,1252249,trump1,-9999,0,d4e39c6a77b346e2b9543053112a0b1a
OYI37X6JTSEF,2017-10-27T21:19:09.910+00:00,*TRUMP SAYS HE HAS SOMEONE SPECIFIC IN MIND FOR FED CHAIR,ACEXCLUDE;USECO;HEADS;CEN;CECO;US;EXE;RIF;BIZNEWS;USGOV;BUSINESS;GOVMISC;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ECO;G7ECOS;FED;FINNEWS;METALKEY;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;WORLD;US;EXE;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;CONEWS;FXKEY;FIALL;GOV;OILKEY;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;RUNEWS;ECO;G7ECOS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,1252249;17946588,1252249,trump1,-9999,0,e4f044bb51c84a608e6c59fff2525dd9
OYMXIV6VDKHT,2017-10-30T12:04:08.084+00:00,*TRUMP'S FED ANNOUNCEMENT COULD BE ON THURSDAY: POLITICO,ACEXCLUDE;USECO;HEADS;CEN;CECO;US;RIF;BIZNEWS;USGOV;BUSINESS;GOVMISC;GOV;NORTHAM;MSCINAMER;MSCIWORLD;INF;ECO;G7ECOS;FED;FINNEWS;METALKEY;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;CEN;CECO;HEADS;POLIRISK;WORLD;US;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;CONEWS;FXKEY;ECOSTAT;FIALL;ECOINDIC;GOV;OILKEY;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;INF;RUNEWS;ECO;G7ECOS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,1252249;15038944,1252249,trump1,-9999,0,7aabbac929d5496aa7a753671db28711
OYQY846K50XX,2017-11-01T16:09:41.350+00:00,*TRUMP SAYS HE WILL ANNOUNCE FED CHAIR TOMORROW AFTERNOON,ACEXCLUDE;HEADS;FIRSTWORD;US;EXE;RIF;BIZNEWS;USGOV;BFWDC;GOV;BFW;NORTHAM;MSCINAMER;BFWGOV;MSCIWORLD;TAX;ACEXCLUDE;GEN;HEADS;POLIRISK;FIRSTWORD;WORLD;US;EXE;RIF;DEBTKEY;SPREGIONS;BIZNEWS;USGOV;BGOVCODES;BFWDC;DEVECO;SRCRANK1;BONDWIRES;MISC;G7MEMB;G10MEMB;FXKEY;GOV;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;BZNEWS;TAX;CREDITKEY;BGOVBILLGO,1252249;3104699,1252249,trump1,-9999,0,3d9ab52a238147ea9ee90f19d746d3a8
OYQY8U6TTDS0,2017-11-01T16:10:07.343+00:00,*TRUMP SAYS PEOPLE WILL BE IMPRESSED WITH HIS FED PICK,ACEXCLUDE;HEADS;FIRSTWORD;US;EXE;RIF;BIZNEWS;USGOV;BFWDC;GOV;BFW;NORTHAM;MSCINAMER;BFWGOV;MSCIWORLD;TAX;ACEXCLUDE;GEN;HEADS;POLIRISK;FIRSTWORD;WORLD;US;EXE;RIF;DEBTKEY;SPREGIONS;BIZNEWS;USGOV;BGOVCODES;BFWDC;DEVECO;SRCRANK1;BONDWIRES;MISC;G7MEMB;G10MEMB;FXKEY;GOV;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;BZNEWS;TAX;CREDITKEY;BGOVBILLGO,1252249;3104699,1252249,trump1,-9999,0,df5b5ed5ff39460f84193a433cd2d028
OYRA9P6JTSEF,2017-11-01T20:29:50.074+00:00,*TRUMP IS SAID TO HAVE PICKED POWELL AS FED CHAIR: WSJ,ACEXCLUDE;USECO;HEADS;CEN;CECO;US;RIF;BIZNEWS;USGOV;BUSINESS;GOVMISC;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ECO;G7ECOS;FED;FINNEWS;METALKEY;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;PLCYREGION;CEN;CECO;HEADS;POLIRISK;SAIDTO;PLCY;WORLD;US;RIF;FEDSPKHEAD;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;ANON;PLCYMAJOR;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;CONEWS;FXKEY;FEDSPEAK;FIALL;GOV;OILKEY;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;RUNEWS;ECO;G7ECOS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,1252249;15046536;15937864;7210759,1252249,trump1,-9999,0,a47614930a61493e834497e3211fe9f5
OYRAAQ6KLVRN,2017-11-01T20:30:27.284+00:00,*TRUMP IS SAID TO HAVE PICKED POWELL AS FED CHAIR: WSJ,BFWFI;ACEXCLUDE;USECO;HEADS;CEN;CECO;BFWRTAS;FIRSTWORD;US;BFWRTUS;BFWEQ;RIF;BIZNEWS;USGOV;BUSINESS;BFWFX;BFWDC;GOVMISC;BFWRTEU;FXKEY;GOV;BFWEU;BFW;NORTHAM;MSCINAMER;BFWGOV;MSCIWORLD;BFWRATE;BFWUS;ECO;G7ECOS;BFWAS;FED;FINNEWS;METALKEY;BFWFI;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;PLCYREGION;CEN;CECO;HEADS;POLIRISK;BFWRTAS;SAIDTO;PLCY;FIRSTWORD;WORLD;US;BFWRTUS;BFWEQ;RIF;FEDSPKHEAD;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BFWFX;BGOVCODES;AGRKEY;BFWDC;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;ANON;PLCYMAJOR;CMDGLOMAC;MISC;G7MEMB;BFWRTEU;G10MEMB;FIASST;FXKEY;FEDSPEAK;FIALL;GOV;OILKEY;BFWEU;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;BFWRATE;BFWUS;RUNEWS;ECO;G7ECOS;BFWAS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS;BFWFOCUS,16891708;1252249;7210759,1252249,trump1,-9999,0,0b428fe77a3b4c198ab93df949f93209
OYRACZ6JTSE8,2017-11-01T20:31:47.267+00:00,*TRUMP IS SAID TO HAVE PICKED POWELL AS FED CHAIR: WSJ,HOT;ACEXCLUDE;USECO;HEADS;CEN;CECO;FIRSTWORD;US;RIF;BIZNEWS;USGOV;BUSINESS;BFWDC;MARKETS;GOVMISC;GOV;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;ALLHOT;ECO;G7ECOS;FED;FINNEWS;TOP;METALKEY;CLNEWS;G8;HOT;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;PLCYREGION;CEN;CECO;HEADS;POLIRISK;SAIDTO;PLCY;FIRSTWORD;WORLD;US;MTGEKEY;RIF;FEDSPKHEAD;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;BFWDC;DEVECO;MARKETS;SRCRANK1;GOVMISC;BONDWIRES;INEQUITY;ANON;PLCYMAJOR;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;MAJOR;FXKEY;FEDSPEAK;FIALL;INMONEY;GOV;OILKEY;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;TIMECO;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;TIMENI;ALLHOT;RUNEWS;ECO;G7ECOS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS;TOP,1252249;15046536;15937864;7210759,1252249,trump1,-9999,0,9a5e9164ee2041449126b58fdb3401ac
OYRG3M6JIJUZ,2017-11-01T22:35:46.818+00:00,*JEROME POWELL IS SAID TO BE TRUMPâ€™S PICK FOR FED CHAIRMAN,GBN;BFWFI;MMK;G8;ACEXCLUDE;FIN;USECO;GEN;HEADS;CEN;CECO;FIRSTWORD;US;EXE;BFWRTUS;RIF;BIZNEWS;USGOV;BUSINESS;BFWFX;TOPBFW;BFWDC;MARKETS;GOVMISC;COS;BFWCRDUS;FXKEY;CNG;FRX;GOV;BNK;BFW;NORTHAM;MSCINAMER;UST;BFWGOV;BON;MSCIWORLD;BFWRATE;USB;INF;ECO;G7ECOS;FED;CBM;NOB;FINNEWS;KRNEWS;BB;METALKEY;GBN;BFWFI;G8;MMK;ACEXCLUDE;FIN;REGIONFILT;USECO;CMDKEY;PLCYREGION;GEN;CEN;CECO;HEADS;POLIRISK;SAIDTO;PLCY;FIRSTWORD;WORLD;US;EXE;BFWRTUS;MTGEKEY;RIF;FEDSPKHEAD;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BFWFX;BGOVCODES;TRNEWS;TOPBFW;AGRKEY;BFWDC;FISUB;DEVECO;MARKETS;SRCRANK1;GOVMISC;BONDWIRES;INEQUITY;ANON;PLCYMAJOR;CMDGLOMAC;MISC;COS;G7MEMB;G10MEMB;FIASST;BFWCRDUS;FXKEY;ECOSTAT;CNG;FEDSPEAK;FIALL;FRX;ECOINDIC;INMONEY;GOV;OILKEY;DC;BNK;RATESKEY;BFW;NORTHAM;MSCINAMER;UST;BFWGOV;BON;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;BFWRATE;USB;INF;RUNEWS;ECO;G7ECOS;BFWTOPFEED;FED;CBM;INDUSTRIES;EQUITYKEY;CREDITKEY;BGOVBILLGO;NOB;FINNEWS;BFWFOCUS;KRNEWS;BB,15046536;17318383;1252249;7210759,1252249,trump1,-9999,0,f4967adc1bee4d61a162fade8a63265a
OYRG496JIJUQ,2017-11-01T22:36:09.544+00:00,"*POWELL IS SAID TO BE TRUMP'S FED PICK, PER 3 PEOPLE FAMILIAR",GBN;BFWFI;MMK;G8;ACEXCLUDE;FIN;USECO;GEN;HEADS;CEN;CECO;FIRSTWORD;US;EXE;BFWRTUS;RIF;BIZNEWS;USGOV;BUSINESS;BFWFX;BFWDC;MARKETS;GOVMISC;COS;BFWCRDUS;FXKEY;CNG;FRX;GOV;BNK;BFW;NORTHAM;MSCINAMER;UST;BFWGOV;BON;MSCIWORLD;BFWRATE;USB;INF;ECO;G7ECOS;FED;CBM;NOB;FINNEWS;METALKEY;GBN;BFWFI;G8;MMK;ACEXCLUDE;FIN;REGIONFILT;USECO;CMDKEY;PLCYREGION;GEN;CEN;CECO;HEADS;POLIRISK;SAIDTO;PLCY;FIRSTWORD;WORLD;US;EXE;BFWRTUS;MTGEKEY;RIF;FEDSPKHEAD;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BFWFX;BGOVCODES;AGRKEY;BFWDC;FISUB;DEVECO;MARKETS;SRCRANK1;GOVMISC;BONDWIRES;ANON;PLCYMAJOR;CMDGLOMAC;MISC;COS;G7MEMB;G10MEMB;FIASST;BFWCRDUS;FXKEY;ECOSTAT;CNG;FEDSPEAK;FIALL;FRX;ECOINDIC;GOV;OILKEY;DC;BNK;RATESKEY;BFW;NORTHAM;MSCINAMER;UST;BFWGOV;BON;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;BFWRATE;USB;INF;RUNEWS;ECO;G7ECOS;FED;CBM;INDUSTRIES;EQUITYKEY;CREDITKEY;BGOVBILLGO;NOB;FINNEWS;BFWFOCUS,15046536;17318383;1252249;7210759,1252249,trump1,-9999,0,fb2040a1a1cb435e923fc998f8a5f995
OYRG4K6JIJUP,2017-11-01T22:36:21.046+00:00,*JEROME POWELL IS SAID TO BE TRUMPâ€™S PICK FOR FED CHAIRMAN,GBN;BFWFI;MMK;G8;HOT;ACEXCLUDE;FIN;USECO;GEN;HEADS;CEN;CECO;FIRSTWORD;US;EXE;BFWRTUS;RIF;BIZNEWS;USGOV;BUSINESS;BFWFX;BFWDC;MARKETS;GOVMISC;COS;BFWCRDUS;FXKEY;CNG;FRX;GOV;BNK;BFW;NORTHAM;MSCINAMER;UST;BFWGOV;GLOBALMACR;BON;MSCIWORLD;BFWRATE;ALLHOT;USB;INF;ECO;G7ECOS;FED;CBM;NOB;FINNEWS;TOP;METALKEY;CLNEWS;GBN;BFWFI;G8;MMK;HOT;ACEXCLUDE;FIN;REGIONFILT;USECO;CMDKEY;PLCYREGION;GEN;CEN;CECO;HEADS;POLIRISK;SAIDTO;PLCY;FIRSTWORD;WORLD;US;EXE;BFWRTUS;MTGEKEY;RIF;FEDSPKHEAD;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BFWFX;BGOVCODES;AGRKEY;BFWDC;FISUB;DEVECO;MARKETS;SRCRANK1;GOVMISC;BONDWIRES;INEQUITY;ANON;PLCYMAJOR;CMDGLOMAC;MISC;COS;G7MEMB;G10MEMB;FIASST;BFWCRDUS;MAJOR;FXKEY;ECOSTAT;CNG;FEDSPEAK;FIALL;FRX;ECOINDIC;INMONEY;GOV;OILKEY;DC;BNK;RATESKEY;BFW;NORTHAM;MSCINAMER;UST;BFWGOV;BON;TIMECO;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;BFWRATE;TIMENI;ALLHOT;USB;INF;RUNEWS;ECO;G7ECOS;FED;CBM;INDUSTRIES;EQUITYKEY;CREDITKEY;BGOVBILLGO;NOB;FINNEWS;BFWFOCUS;TOP,15046536;17318383;1252249;7210759,1252249,trump1,-9999,0,6460569c3f3d47fd84097941c8357aa5
OYRSCY6S9728,2017-11-02T03:00:34.624+00:00,*TRUMP TO ANNOUNCE FED CHAIR NOMINEE 3PM THURSDAY: WHITE HOUSE,ACEXCLUDE;HEADS;US;RIF;BIZNEWS;USGOV;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ACEXCLUDE;REGIONFILT;GEN;HEADS;POLIRISK;WORLD;US;EXE;RIF;SPREGIONS;BIZNEWS;USGOV;BGOVCODES;DEVECO;SRCRANK1;BONDWIRES;MISC;G7MEMB;G10MEMB;CONEWS;GOV;DC;NORTHAM;MSCINAMER;MSCIWORLD;BZNEWS;POL;BGOVBILLGO,17845891;1252249,1252249,trump1,-9999,0,57f5e4ed2d744a7c8e8af7d3e5e42988
OYRSGL6JIJX2,2017-11-02T03:02:46.006+00:00,*TRUMP TO ANNOUNCE FED CHAIR NOMINEE 3PM THURSDAY: WHITE HOUSE,BFWFI;ACEXCLUDE;SQUAWKMACR;HEADS;BFWRTAS;FIRSTWORD;US;BFWRTUS;RIF;BIZNEWS;USGOV;BFWFX;BFWRTEU;FXKEY;GOV;BFW;NORTHAM;MSCINAMER;MSCIWORLD;BFWRATE;BFWFI;ACEXCLUDE;SQUAWKMACR;GEN;HEADS;POLIRISK;BFWRTAS;FIRSTWORD;WORLD;US;EXE;BFWRTUS;RIF;DEBTKEY;SPREGIONS;BIZNEWS;USGOV;BFWFX;BGOVCODES;DEVECO;SRCRANK1;BONDWIRES;MISC;G7MEMB;BFWRTEU;G10MEMB;FXKEY;GOV;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;MSCIWORLD;BZNEWS;BFWRATE;SQUAWK;POL;BGOVBILLGO;BFWFOCUS,17845891;19765540;19852798;3921098;1252249,1252249,trump1,-9999,0,68c88e8d0e924e3782ef2c50bc3a9b31
OYRTEO6JTSE8,2017-11-02T03:23:12.466+00:00,*TRUMP SAYS HE'LL ANNOUNCE `THE NEW HEAD OF THE FED' TOMORROW,ACEXCLUDE;USECO;HEADS;CEN;CECO;US;EXE;RIF;BIZNEWS;USGOV;BUSINESS;GOVMISC;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ECO;G7ECOS;FED;FINNEWS;METALKEY;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;WORLD;US;EXE;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;CONEWS;FXKEY;FIALL;GOV;OILKEY;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;RUNEWS;ECO;G7ECOS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,17299890;1252249,1252249,trump1,-9999,0,bc4558213393494c915c49eee6d4fa0f
OYRTFS6S9728,2017-11-02T03:23:52.507+00:00,*PRESIDENT TRUMP COMMENTS ON FED PICK IN TWITTER POST,ACEXCLUDE;USECO;HEADS;CEN;CECO;US;EXE;RIF;BIZNEWS;USGOV;BUSINESS;GOVMISC;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ECO;G7ECOS;FED;FINNEWS;METALKEY;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;WORLD;US;EXE;RIF;TEC;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;MISC;COS;CPNYCNT1;G7MEMB;G10MEMB;FIASST;CONEWS;INTERNET;FXKEY;FIALL;GOV;OILKEY;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;RUNEWS;ECO;G7ECOS;FED;INDUSTRIES;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,17299890;1252249,1252249,trump1,-9999,0,8f0ddd96dd9249c7a428b956e4deb007
OYSMNJ6VDKHS,2017-11-02T13:54:55.901+00:00,*TRUMP TO NAME FED BOARD MEMBER POWELL TO REPLACE YELLEN: AP,ACEXCLUDE;HEADS;FIRSTWORD;US;EXE;RIF;BIZNEWS;USGOV;BFWDC;GOV;BFW;NORTHAM;MSCINAMER;BFWGOV;MSCIWORLD;METALKEY;G8;ACEXCLUDE;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;FIRSTWORD;WORLD;US;EXE;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;BFWDC;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;MGMTCHG;CMDGLOMAC;ESGRES;MISC;COS;G7MEMB;G10MEMB;FIASST;FXKEY;FIALL;GOV;OILKEY;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;BFWGOV;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;ECO;G7ECOS;FED;WNEWS;CREDITKEY;BGOVBILLGO,17594698;1252249,1252249,trump1,-9999,0,405e361eeb59459591a03c31276b33e9
OYT14F6TTDSB,2017-11-02T19:07:27.533+00:00,*FED'S POWELL ACCOMPANIES TRUMP AT WHITE HOUSE ANNOUNCEMENT,GBN;MMK;ACEXCLUDE;FIN;USECO;HEADS;CEN;CECO;US;EXE;RIF;BIZNEWS;USGOV;BUSINESS;MARKETS;GOVMISC;COS;CNG;GOV;BNK;NORTHAM;MSCINAMER;UST;BON;MSCIWORLD;USB;INF;ECO;G7ECOS;FED;CBM;NOB;LABOR;FINNEWS;METALKEY;GBN;G8;MMK;ACEXCLUDE;FIN;REGIONFILT;USECO;CMDKEY;ESGLABOR;PLCYREGION;GEN;CEN;CECO;HEADS;POLIRISK;PLCY;WORLD;US;EXE;MTGEKEY;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;FISUB;DEVECO;MARKETS;SRCRANK1;GOVMISC;BONDWIRES;ESG;PLCYMAJOR;CMDGLOMAC;ESGRES;MISC;COS;G7MEMB;G10MEMB;FIASST;CONEWS;FXKEY;ECOSTAT;CNG;FEDSPEAK;FIALL;ECOINDIC;GOV;OILKEY;DC;BNK;RATESKEY;ESGCOUNT;NORTHAM;MSCINAMER;UST;GLOBALMACR;BON;MSCIWORLD;BROKERLITE;BZNEWS;USB;INF;RUNEWS;ECO;G7ECOS;POL;FED;CBM;INDUSTRIES;EQUITYKEY;CREDITKEY;ESGSOC;BGOVBILLGO;NOB;LABOR;FINNEWS,15046536;1795692;1252249,1252249,trump1,-9999,0,2baf7c5579ff48c5a93957202afc6f15
OYT14Y6JIJUP,2017-11-02T19:07:46.656+00:00,*TRUMP SPEAKS AT WHITE HOUSE EVENT TO ANNOUNCE FED CHAIR PICK,ACEXCLUDE;USECO;HEADS;CEN;CECO;US;EXE;RIF;BIZNEWS;USGOV;BUSINESS;TRANEXE;GOVMISC;GOV;NORTHAM;MSCINAMER;MSCIWORLD;ECO;G7ECOS;FED;FINNEWS;METALKEY;G8;ACEXCLUDE;REGIONFILT;USECO;CMDKEY;GEN;CEN;CECO;HEADS;POLIRISK;WORLD;US;EXE;RIF;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;TRANEXE;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;MISC;G7MEMB;G10MEMB;FIASST;CONEWS;FXKEY;FIALL;GOV;OILKEY;DC;RATESKEY;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;RUNEWS;ECO;G7ECOS;POL;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,1252249;15046536;17318383,1252249,trump1,-9999,0,db927f2535bc4e3aaed7b384e3341883
