Unnamed: 0.1,Unnamed: 0,index,suid,headline,timestamp_clean,relevant,sentiment_international,sentiment_economy,sentiment_financial_markets,sentiment_consumer,sentiment_housing,sentiment_labor,sentiment_inflation,hawk_dove,relevant_confidence,topic_international_confidence,topic_economy_confidence,topic_financial_markets_confidence,topic_consumer_confidence,topic_housing_confidence,topic_labor_confidence,topic_inflation_confidence,hawk_dove_confidence,_reviewed
938,938,,M9M9QB1A1I4L,*ST. LOUIS FED PRESIDENT JAMES BULLARD ON BLOOMBERG RADIO AND TV,2012-08-31 11:10:59.415000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
939,939,,MAAR9C1A1I4I,*N.Y. OIL RISES TO $98.30 FROM $97.40 BEFORE FED STATEMENT,2012-09-13 16:32:00.280000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
940,940,668,MAAXK61A1I4I,"*BERNANKE SAYS FED HAS COLLABORATIVE, COLLEGIAL PROCESS",2012-09-13 18:48:06.739000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
941,941,1209,MAAW9N1A1I4I,*BERNANKE SAYS FED WILL TAKE INFLATION INTO ACCOUNT ON PURCHASES,2012-09-13 18:20:11.333000+00:00,1,,,,,,,0,0,95,100,100,100,100,100,100,90,85,1
942,942,215,MAAXTB1A1I4K,*BERNANKE SAYS ON BALANCE QE IS EFFECTIVE IN HELPING GROWTH,2012-09-13 18:53:35.258000+00:00,1,,2,1,,,,,-1,95,100,95,75,100,100,100,100,85,1
945,945,276,MAIMF40IKMBQ,*FED'S EVANS SAYS HE SUPPORTS QE3 DECISION `WHOLEHEARTEDLY',2012-09-18 12:00:00.004000+00:00,1,,1,1,,,,,-2,95,100,75,80,100,100,100,100,90,1
946,946,463,MAJQ771A1I4I,*FED'S EVANS SAYS REFINANCING FOR 'UNDERWATER' HOMEOWNERS NEEDED,2012-09-18 12:47:31.055000+00:00,1,,-1,,1,-2,,,-1,95,100,80,90,85,95,100,100,90,1
947,947,528,MAJLLU1A1I4I,*FISHER SAYS HE WOULD HAVE VOTED AGAINST QE3,2012-09-18 11:08:18.728000+00:00,1,,-1,-1,,,,1,1,95,100,80,82,100,100,100,75,90,1
948,948,858,MAK38W1A1I4J,*DUDLEY SAYS MONETARY POLICY `PUSHING HARD' FOR STRONGER ECONOMY,2012-09-18 17:29:20.788000+00:00,1,,1,,,,,,-1,95,100,90,100,100,100,100,100,85,1
949,949,1486,MAJSWT1A1I4O,*FED'S EVANS ALSO SEES `SLIGHTLY MORE PRICE PRESSURE' FROM QE3,2012-09-18 13:46:05.532000+00:00,1,,,,,,,-1,1,,,,,,,,,,1
950,950,1822,MAJLZ41A1I4I,*FED'S FISHER SAYS THERE'S A LOT OF MONEY SITTING ON SIDELINES,2012-09-18 11:16:16.851000+00:00,0,,,,,,,,,,,,,,,,,,1
952,952,125,MAK2TU1A1I4I,*DUDLEY SAYS `TOO BIG TO FAIL' ISSUE NEEDS TO BE ADDRESSED,2012-09-18 17:20:18.567000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
953,953,,MAK2X91A1I4I,*DUDLEY SAYS FED ISN'T OUT OF AMMUNITION FOR STIMULUS MEASURES,2012-09-18 17:22:21.908000+00:00,1,,-1,0,,,,,-2,95,100,80,75,100,100,100,100,90,1
954,954,142,MALZ281A1I4I,*FED'S FISHER SEES SHARP RISE IN INFLATION EXPECTATIONS,2012-09-19 17:54:08.032000+00:00,1,,-1,,-1,,,-2,2,95,100,70,85,75,90,90,95,85,1
957,957,,MAWXK60E1PFG,*PLOSSER SAYS FED POLICY POSES `LONGER RUN' RISKS TO INFLATION,2012-09-25 16:00:00.013000+00:00,1,,,,,,,-1,1,95,100,100,100,100,100,100,90,90,1
958,958,1009,MB0AC71A1I4I,*FED'S PLOSSER SAYS FED IS PREPARED TO REACT TO EUROPE CRISIS,2012-09-27 11:24:07.680000+00:00,1,2,,1,,,,,0,95,85,95,80,100,100,100,100,80,1
960,960,340,MB85BW1A1I4I,*BERNANKE SAYS MILTON FRIEDMAN SUPPORTED SUFFICIENT LIQUIDITY,2012-10-01 17:16:44.229000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
961,961,554,MB85DY1A1I4I,"*BERNANKE SEES HEADWINDS FROM SLOWING TRADE, EUROPE CRISIS",2012-10-01 17:17:58.719000+00:00,1,-2,-1,-1,,,,,-1,95,90,82,85,100,100,100,100,75,1
962,962,1283,MB85QO1A1I4I,*BERNANKE SAYS U.S. `HAS TO LOOK TOWARD THE FUTURE' ON ECONOMY,2012-10-01 17:25:36.990000+00:00,1,,1,,,,,,0,,,,,,,,,,1
964,964,96,MB82ZL0PLGJP,*BERNANKE SAYS FED TO KEEP RATES LOW AFTER ECONOMY STRENGTHENS,2012-10-01 16:30:00+00:00,1,,1,0,,,,1,-1,95,100,80,60,100,100,100,70,85,1
965,965,,MBPX8U1A1I4I,*FED'S YELLEN SAYS JAPAN RECOVERING RAPIDLY,2012-10-11 07:38:54.091000+00:00,0,2,,,,,,,,80,90,100,100,100,100,100,100,80,1
966,966,,MBXOH40E1P03,"*U.S. EMPIRE STATE FACTORY INDEX AT -6.2 IN OCT., FED SAYS",2012-10-15 12:30:00+00:00,0,,-1,,,,,,,90,100,85,90,90,100,95,95,80,1
967,967,171,MBNLVC1A1I4I,*FED'S YELLEN SAYS U.S. DEBT STILL REGARDED AS SAFE HAVEN ASSET,2012-10-10 01:38:00.603000+00:00,0,,,,,,,,,85,90,75,80,90,90,90,90,80,1
968,968,835,MBP5F61A1I4I,*FISHER SAYS FED SHOULD BE FOCUSED ON PRICE STABILITY,2012-10-10 21:37:54.469000+00:00,1,,,,,,,-2,0,90,100,90,90,90,90,90,80,85,1
969,969,1123,MBP5HQ1A1I4I,*FISHER SAYS FED ACTIONS CAN SET BASE FOR INFLATION 'LATER ON',2012-10-10 21:39:26.869000+00:00,1,,,,,,,-1,1,90,100,100,100,100,100,100,90,85,1
970,970,1334,MBNLTL1A1I4I,*FED'S YELLEN SAYS LOW INTEREST RATES NEEDED TO SPUR GROWTH,2012-10-10 01:36:57.320000+00:00,1,,-2,,,,,,-2,,,,,,,,,,1
971,971,,MBNN9B1A1I4I,*YELLEN SAYS EMERGING MARKETS FACE PROBLEM IN MANAGING FLOWS,2012-10-10 02:07:59.797000+00:00,1,-1,,,,,,,-1,90,80,100,100,100,100,100,100,90,1
972,972,,MBF9EB0PLGRR,*DUDLEY SAYS U.S. UNEMPLOYMENT RATE IS `UNACCEPTABLY HIGH',2012-10-05 14:00:00.005000+00:00,1,,-2,,-1,,-2,,-2,95,100,90,100,75,100,95,100,90,1
973,973,,MCNYYU1A1I4I,"*NEW YORK FED SAYS CASH OPERATIONS, FEDWIRE ARE OPEN",2012-10-29 16:54:30.215000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
974,974,268,MBSKQD1A1I4N,*LACKER: FED SHOULDN'T `PIN' ITSELF TO EXACT THRESHOLD NUMBERS,2012-10-12 18:01:25.725000+00:00,1,,,,,,0,0,0,85,100,100,100,100,100,75,75,80,1
975,975,43,MBY8K01A1I4Q,*BULLARD SAYS EUROPE 'FUNDAMENTALLY A FISCAL PROBLEM',2012-10-15 19:24:00.039000+00:00,0,-1,,,,,,,,90,85,75,70,80,90,80,80,70,1
976,976,616,MBYCX41A1I4H,*DUDLEY SAYS FISCAL CLIFF ISSUE IS `HURTING THE ECONOMY',2012-10-15 20:58:16.837000+00:00,1,,-1,,0,,,,-1,90,100,85,100,50,100,100,100,70,1
977,977,3,MBYD4A1A1I4I,*DUDLEY SAYS FED SHOULD GET `A REASONABLE GRADE' ON POLICY,2012-10-15 21:02:34.839000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
978,978,117,MBY6EU1A1I4I,*BULLARD SEES FED PROMISE IN FOMC STATEMENT ON 2015/RATES,2012-10-15 18:37:42.839000+00:00,1,,0,1,,,,,0,95,100,60,80,100,100,100,100,85,1
982,982,36,MCGZCW0WGOJG,*LACKER SAYS MORE EASING UNLIKELY TO BRING `DISCERNIBLE' GROWTH,2012-10-26 11:30:00+00:00,1,,-1,,,,,,0,90,90,87,75,80,94,92,95,85,1
984,984,1316,MCTIV41A1I4I,*LOCKHART SAYS QE3 SHOULD HELP ECONOMY `ON THE MARGIN',2012-11-01 16:52:16.314000+00:00,1,,1,,,,,,-1,,,,,,,,,,1
985,985,,ME5V7J0PLHOB,*FED SAYS MORTGAGE DEBT FELL BY $120 BILLION IN THIRD QUARTER,2012-11-27 20:00:00.012000+00:00,0,,0,0,,0,,,,90,100,70,70,100,70,100,100,80,1
986,986,,ME5V7J0PLHRY,*FED SAYS STUDENT LOANS ROSE $42 BILLION DURING THIRD QUARTER,2012-11-27 20:00:00.013000+00:00,0,,,1,1,,,,,85,100,100,80,80,100,100,100,90,1
987,987,825,MDJBYV1A1I4R,*LACKER SAYS 'APPREHENSIVE' ON WEAKNESS IN BUSINESS SPENDING,2012-11-15 15:20:55.974000+00:00,1,,-1,,,,,,-1,90,100,90,100,100,100,100,100,85,1
988,988,,ME7L1G1A1I4I,*TARULLO SAYS RULE-MAKING IS `DELIBERATE' PROCESS,2012-11-28 17:39:16.223000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
989,989,886,MDLLE50WGOJ8,*FED'S LOCKHART SEES `SOME FIRMING OF ECONOMIC CONDITIONS',2012-11-16 20:40:43.458000+00:00,1,,1,,,,,,1,95,100,90,100,100,100,100,100,85,1
990,990,1388,MDL2040PLGO9,"*U.S. OCTOBER INDUSTRIAL PRODUCTION FALLS 0.4%, FED SAYS",2012-11-16 14:15:00+00:00,1,,-2,,,,,,-1,,,,,,,,,,1
991,991,1507,MDLLE50WGOJC,*LOCKHART SAYS INFLATION WILL PROBABLY STAY CLOSE TO 2% TARGET,2012-11-16 20:40:43.456000+00:00,1,,,,,,,2,0,,,,,,,,,,1
992,992,639,MDSSN01A1I4I,*BERNANKE SAYS BANKS `ARE BEGINNING TO EXPAND THEIR CAPACITY',2012-11-20 17:59:24.938000+00:00,1,,1,1,,,,,0,90,100,85,90,85,90,95,95,85,1
993,993,1442,MDSQ840WGOJ5,*BERNANKE SAYS FISCAL CLIFF WOULD POSE `SUBSTANTIAL THREAT',2012-11-20 17:15:00+00:00,1,,,,,,,,-1,,,,,,,,,,1
994,994,,ME98DE1A1I4I,*DUDLEY SAYS TOUGHER BANK REGULATION IS `ABSOLUTELY NECESSARY',2012-11-29 15:00:50.182000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
995,995,129,ME53CH1A1I4L,*FISHER SAYS WASN'T IN FAVOR OF OPERATION TWIST FROM THE START,2012-11-27 09:21:53.455000+00:00,1,,0,-1,,,,0,1,95,100,70,80,100,100,100,70,85,1
998,998,375,ME7LGL1A1I4I,*EVANS SAYS U.S. LAWMAKERS WILL PROBABLY AVOID FISCAL CLIFF,2012-11-28 17:48:21.511000+00:00,0,,1,,,,,,,90,100,80,70,100,100,100,100,70,1
1000,1000,176,ME8YXK1A1I4I,*FISHER SAYS INCENTIVE FOR GROWTH HAS TO COME FROM FISCAL POLICY,2012-11-29 11:36:56.824000+00:00,1,,1,,,,,,0,80,100,75,100,100,100,100,100,70,1
1003,1003,154,MEBPRW1A1I4I,*KOCHERLAKOTA SAYS BANKS WOULD LIKE TO HAVE MORE LOAN DEMAND,2012-11-30 23:11:56.440000+00:00,1,,-1,1,-1,,,,-1,95,100,60,70,65,100,100,100,75,1
1004,1004,,MF6F9N2CA2QP,"*U.S. EMPIRE STATE FACTORY INDEX AT -8.1 IN DEC., FED SAYS",2012-12-17 13:30:00.002000+00:00,0,,-1,,,,,,,90,100,50,100,100,100,100,100,50,1
1005,1005,1029,MEGZDK1A1I4I,*BULLARD SAYS FISCAL CLIFF TOO BIG FOR MONETARY POLICY TO OFFSET,2012-12-03 19:27:20.428000+00:00,1,,-2,-1,-1,,,,-1,90,100,95,90,90,100,100,100,85,1
1006,1006,574,MEIJI50PLGKG,*FED'S TARULLO SAYS REINSTATING GLASS-STEAGALL COULD BE COSTLY,2012-12-04 15:45:00+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
1007,1007,,MEZ1B50PLGZW,"*FED SAYS SWAP LINES ALSO EXTENDED TO SWISS, U.K. CENTRAL BANKS",2012-12-13 13:30:00.007000+00:00,0,1,0,1,,,,,,80,60,70,70,100,100,100,100,60,1
1008,1008,813,MEXOI31A1I4I,*BERNANKE SAYS `EXCEPTIONALLY URGENT' TO REACH FISCAL CLIFF DEAL,2012-12-12 19:51:39.243000+00:00,1,,-2,-2,-1,,,,-1,90,100,90,80,75,100,100,100,85,1
1009,1009,821,MEXNO71A1I4L,*BERNANKE SAYS FISCAL CLIFF IS CREATING PESSIMISM,2012-12-12 19:33:44.005000+00:00,1,,-1,-1,-1,,,,-1,90,100,90,75,85,100,100,100,80,1
1010,1010,1035,MEXOSY1A1I4J,*BERNANKE SAYS FOMC TAKEN `SIGNIFICANT ACTION' FOR RECOVERY,2012-12-12 19:58:10.921000+00:00,1,,1,,,,,,-1,95,100,95,90,85,100,88,100,90,1
1011,1011,,MF0SE01A1I4K,*FED'S FISHER SEES QUESTION OF EFFICACY IN BUYING TREASURIES,2012-12-14 12:08:24.624000+00:00,1,,0,-1,,,,,1,85,100,75,70,100,100,100,100,65,1
1012,1012,,MFPDQX25KH4C,*FED SAYS DEALER FINANCING TERMS LITTLE CHANGED IN DEC. SURVEY,2012-12-27 19:00:00+00:00,0,,,,,,,,,80,100,100,80,100,100,100,100,85,1
1013,1013,,MEDHQR1A1I4I,*PLOSSER SAYS CONGRESS HAS POWER TO SET FED'S MANDATES,2012-12-01 22:13:39.244000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
1015,1015,779,MF6M521A1I4I,*LACKER SAYS FOMC SEEMS READY TO TEST LIMITS OF CREDIBILITY,2012-12-17 15:39:02.088000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
1016,1016,1817,MF6XFP1A1I4O,*LACKER SAYS ONE OPTION IS TO SCALE BACK QE IN 2013,2012-12-17 19:43:01.831000+00:00,1,,,,,,,,1,,,,,,,,,,1
1021,1021,868,MG4AQV1A1I4I,*PLOSSER SAYS HE OPPOSED TO FOCUS ON DATES FOR END TO QE,2013-01-04 20:11:19.456000+00:00,1,,0,0,,,,,0,95,100,90,85,90,90,90,90,80,1
1022,1022,,MHGDHM3TCF0J,*FED SAYS UNEMPLOYMENT RATE REMAINS ELEVATED,2013-01-30 19:15:22.428000+00:00,1,,,,,,-1,,-1,95,100,100,100,100,100,95,100,70,1
1023,1023,,MGO5BF0PLGOC,"*U.S. EMPIRE STATE FACTORY INDEX AT -7.8 IN JAN., FED SAYS",2013-01-15 13:30:00.023000+00:00,0,,-1,,,,,,,90,100,80,100,100,100,100,100,75,1
1024,1024,,MG65791A1I4I,*PLOSSER SAYS `TOXIC ASSETS' ARE `MOSTLY GONE' AMONG FED ASSETS,2013-01-05 20:06:45.632000+00:00,0,,,2,,,,,,90,100,100,90,100,100,100,100,80,1
1025,1025,29,MGGY3B1A1I4I,*PLOSSER SAYS FED HAS `RISKY MONETARY POLICY',2013-01-11 16:06:47.717000+00:00,1,,-1,-1,,,,-1,0,95,100,60,60,100,100,100,60,70,1
1026,1026,35,MGGXZM1A1I4I,*PLOSSER SAYS ABILITY TO MANAGE SMOOTH EXIT MAY BE PUT TO TEST,2013-01-11 16:04:34.577000+00:00,1,,0,-1,,,,,0,85,100,65,70,100,100,100,100,75,1
1027,1027,545,MGGTCW0WGOUY,*PLOSSER SAYS FED EASING MAY BACKFIRE WHILE FUELING INFLATION,2013-01-11 14:28:29.467000+00:00,1,,-1,,,,,-2,1,95,100,80,85,90,100,95,90,80,1
1028,1028,1190,MGGXDL1A1I4M,*PLOSSER: FED WOULD STOP ASSET PURCHASES BEFORE RAISING RATES,2013-01-11 15:51:21.603000+00:00,1,,,2,,,,,1,95,100,100,90,100,100,100,100,85,1
1029,1029,,MGGXDL1A1I4O,*FED'S PLOSSER SAYS HOUSEHOLDS ARE `TRYING TO GET HEALTHY',2013-01-11 15:51:21.601000+00:00,1,,-1,,1,,,,0,90,100,70,100,75,100,100,100,65,1
1030,1030,1649,MGMXJC1A1I4K,*BERNANKE SAYS FED WILL ASSESS BENEFITS AND RISKS OF QE,2013-01-14 21:40:24.705000+00:00,1,,,,,,,,0,,,,,,,,,,1
1031,1031,,MGMYOM1A1I4H,*BERNANKE SAYS FED THRESHOLDS PROVIDE GREATER CLARITY,2013-01-14 22:05:10.673000+00:00,1,,,,,,,,0,95,100,100,100,100,100,100,100,100,1
1032,1032,67,MGO6EQ1A1I4K,*ROSENGREN: FED UNLIKELY TO SELL ASSETS FOR MOST OF THIS YEAR,2013-01-15 13:49:38.582000+00:00,1,,,-1,,,,,-2,85,100,100,70,100,100,100,100,80,1
1033,1033,199,MGOKHI0PLGKZ,*FED SAYS TALF CREDIT PROTECTION `IS NO LONGER NECESSARY',2013-01-15 19:00:00.002000+00:00,0,,-1,-1,,,,,,85,100,70,90,100,100,100,100,75,1
1034,1034,,MG4GOC0PLGMB,*BULLARD SAYS ECB ACTION `WRAPPED UP IN FISCAL POLICY PACKAGE',2013-01-04 22:30:00.004000+00:00,0,0,,,,,,,,90,95,95,95,95,95,95,95,95,1
1035,1035,,MHE4SW1A1I4I,"*U.S. AVERAGE DAILY CURRENCY VOLUME FELL 18.8%, FED SAYS",2013-01-29 14:12:32.091000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
1036,1036,,MGQ6KX1A1I4L,*KOCHERLAKOTA SAYS FISCAL `UNCERTAINTY' CONSTRAINING INVESTMENT,2013-01-16 15:48:33.978000+00:00,1,,-1,-1,,,,,-1,90,100,80,80,100,100,100,100,75,1
1037,1037,70,MGS5WB1A1I4I,*LOCKHART SAYS FED THROUGH QE HAS ENTERED `UNCHARTED TERRITORY',2013-01-17 17:28:59.103000+00:00,1,,0,0,,,,,0,80,100,70,80,100,100,100,100,75,1
1038,1038,1573,MGQWM51A1I4I,*FISHER SAYS UNCERTAINTY OVER DEBT CEILING HURTING BUSINESSES,2013-01-17 01:10:53.989000+00:00,1,,,,,,,,-1,,,,,,,,,,1
1039,1039,1652,MGS5KA1A1I4I,*LOCKHART SAYS HOUSING IS `A VERY HOPEFUL PICTURE',2013-01-17 17:21:46.568000+00:00,1,,,,,2,,,0,,,,,,,,,,1
1040,1040,,MGS6111A1I4I,*FED'S LOCKHART SAYS TOO-BIG-TO-FAIL IS A `MANAGEMENT' PROCESS,2013-01-17 17:31:49.563000+00:00,0,,,,,,,,,90,100,70,80,100,100,100,100,60,1
1046,1046,299,MHJRJM1A1I4I,*BULLARD SAYS OUTRIGHT FED PURCHASES MORE POTENT THAN `TWIST',2013-02-01 15:11:46.082000+00:00,1,,1,2,,,,,-1,95,100,78,90,100,100,100,100,85,1
1047,1047,1641,MHJR8X1A1I4I,*BULLARD SAYS HE'S NOT SURE LABOR PARTICIPATION TO RISE QUICKLY,2013-02-01 15:05:21.518000+00:00,1,,,,,,-1,,0,,,,,,,,,,1
1048,1048,,MIW2TA1A1I4I,*BERNANKE SAYS SEQUESTER ISN'T NEWS TO MARKETS,2013-02-27 17:19:58.188000+00:00,0,,0,1,,,,,,90,100,75,90,100,100,100,100,70,1
1049,1049,348,MI2LAJ1A1I4I,*YELLEN SAYS AUSTERITY CAN UNDERMINE INTENDED GOALS,2013-02-11 19:11:07.866000+00:00,1,,-1,,,,,,0,85,100,80,100,100,100,100,100,90,1
1050,1050,1483,MI4JO01A1I4I,*LOCKHART SAYS EQUITY MARKETS NOT A BUBBLE YET NEED WATCHING,2013-02-12 20:31:12.202000+00:00,1,,,-1,,,,,0,,,,,,,,,,1
1051,1051,,MI50D71A1I4Q,*PLOSSER SAYS FED TO TAPER MONTHLY PURCHASES BEFORE HALTING QE,2013-02-13 02:31:55.457000+00:00,1,,1,1,,,,-1,-1,90,100,70,75,100,100,100,65,70,1
1052,1052,,MI9J3T0M5UTO,"*U.S. EMPIRE STATE FACTORY INDEX AT 10.0 IN FEB., FED SAYS",2013-02-15 13:30:00+00:00,0,,1,,,,1,,,90,100,85,100,100,100,80,100,80,1
1053,1053,,MIWJL11A1I4X,*FISHER SAYS FED NEEDS TO `CONTINUALLY REVISIT' EXIT STRATEGY,2013-02-27 23:22:13.649000+00:00,1,,,,,,,,0,85,100,100,100,100,100,100,100,80,1
1054,1054,840,MI9P9U1A1I4I,*PIANALTO SAYS INFLATION EXPECTATIONS WILL PROBABLY STAY LOW,2013-02-15 15:20:18.549000+00:00,1,,,,,,,2,-1,95,100,90,90,90,100,100,92,85,1
1055,1055,,MI4VUC0PLGLG,*PLOSSER SAYS FED GUIDANCE ON POLICY RISKS STOKING INFLATION,2013-02-13 01:00:00.005000+00:00,1,,,,,,,-1,0,95,100,80,80,80,100,100,90,85,1
1056,1056,,MIU5RM1A1I4K,*FED CHAIRMAN BERNANKE TESTIFIES TO SENATE COMMITTEE,2013-02-26 16:28:34.839000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
1057,1057,132,MIMGPO1A1I4I,*FED'S BULLARD SAYS SEQUESTER EFFECTS MAY BE SPREAD OUT,2013-02-22 12:44:12.669000+00:00,0,,,,,,,,,80,100,70,70,100,100,100,100,75,1
1058,1058,1053,MINC111A1I4I,*TARULLO SAYS U.S. STILL IN `SLOW-GROWTH ENVIRONMENT',2013-02-23 00:00:37.485000+00:00,1,,-1,,,,,,-1,95,100,95,100,100,100,100,100,85,1
1059,1059,596,MIR0480WGOHY,*FED'S ROSENGREN SEES NEED TO RAISE BIG BANKS' CAPITAL STANDARDS,2013-02-25 00:15:00+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
1060,1060,309,MIU77B1A1I4J,*BERNANKE SAYS U.S. BANKS STRONGER THAN EUROPEAN BANKS,2013-02-26 16:59:35.447000+00:00,1,1,,1,,,,,0,85,90,80,75,80,80,80,80,70,1
1061,1061,653,MIU7BI1A1I4I,*BERNANKE SAYS U.S. DEBT IMPORTANT ECONOMIC RISK,2013-02-26 17:02:06.655000+00:00,1,,-1,-2,,,,,0,90,100,85,70,95,100,100,100,75,1
1062,1062,1466,MIU6Q41A1I4I,*BERNANKE SAYS HE DOESN'T SEE EVIDENCE OF EQUITY BUBBLE,2013-02-26 16:49:16.965000+00:00,1,,,2,,,,,0,,,,,,,,,,1
1063,1063,1587,MIU16A0U4EQ9,*BERNANKE SAYS U.S. `INFLATION IS CURRENTLY SUBDUED',2013-02-26 15:00:00.017000+00:00,1,,,,,,,1,0,,,,,,,,,,1
1064,1064,1798,MIU6BC1A1I4K,*BERNANKE SAYS TOO-BIG-TO-FAIL NEEDS TO BE ADDRESSED,2013-02-26 16:40:24.613000+00:00,0,,,,,,,,,,,,,,,,,,1
1065,1065,216,MIU4H31A1I4M,*BERNANKE SAYS FED TRYING TO PROPERLY BALANCE ITS OBJECTIVES,2013-02-26 16:00:39.947000+00:00,0,,0,0,,,0,0,,95,100,70,70,100,100,70,70,80,1
1066,1066,288,MIU1E40U4ETE,*BERNANKE: FED TREASURY REMITTANCES MAY DECLINE IN COMING YEARS,2013-02-26 15:00:00.031000+00:00,0,,1,-1,,,,0,,85,100,75,80,100,100,100,90,70,1
1067,1067,,MIU52O1A1I4I,*BERNANKE SAYS SAVERS `AN IMPORTANT ISSUE',2013-02-26 16:13:36.540000+00:00,0,,,,,,,,,80,100,100,100,100,100,100,100,100,1
1069,1069,278,MIW44Z1A1I4I,*BERNANKE SAYS HEALTH CARE COSTS BIGGEST LONG TERM DEFICIT CAUSE,2013-02-27 17:48:35.337000+00:00,0,,,,,,,,,85,100,100,100,100,100,100,100,100,1
1070,1070,508,MIVYI41A1I4I,*BERNANKE SAYS FED TAKES COST-BENEFIT VIEW TOWARD QE,2013-02-27 15:46:52.673000+00:00,1,,0,0,,,,0,0,95,100,80,75,100,100,100,70,90,1
1071,1071,663,MIVYP31A1I4I,"*BERNANKE SAYS TREASURY, MBS MARKETS SHOWING NO PROBLEMS FROM QE",2013-02-27 15:51:03.948000+00:00,1,,1,2,,,,,0,90,100,85,92,100,100,100,100,75,1
1072,1072,1169,MIWI3R1A1I4M,*FISHER: FED WOULD NEED TO FIGHT RISE IN INFLATION EXPECTATIONS,2013-02-27 22:50:15.711000+00:00,1,,,,,,,-1,2,95,100,100,100,100,100,100,90,85,1
1073,1073,1270,MIW2QY1A1I4I,*BERNANKE SAYS `I DON'T THINK THE ECONOMY IS OVERHEATING',2013-02-27 17:18:34.488000+00:00,1,,0,,,,,,0,,,,,,,,,,1
1078,1078,51,MIY8WI1A1I4L,*DALLAS FED'S FISHER SAYS IT'S TIME TO TAPER OFF BOND-BUYING,2013-02-28 21:26:42.801000+00:00,1,,,1,,,,,2,95,100,65,80,70,85,90,85,90,1
1080,1080,1015,MJ527L1A1I4N,*YELLEN SAYS BUSINESSES NOT HIRING BECAUSE OF WEAK ECONOMY,2013-03-04 13:45:21.895000+00:00,1,,-2,,,,-2,,-1,90,100,95,100,90,100,95,100,85,1
1081,1081,,MJ59721A1I4I,*KOCHERLAKOTA SAYS HE PREFERRED A 5.5% UNEMPLOYMENT THRESHOLD,2013-03-04 16:16:14.036000+00:00,1,,,,,,0,,0,95,100,95,95,95,100,90,95,85,1
1082,1082,,MJPAYE0Z9TEN,"*U.S. MARCH EMPIRE STATE FACTORY INDEX AT 9.2 AFTER 10, FED SAYS",2013-03-15 12:30:00.005000+00:00,0,,-1,,,,-1,,,80,100,70,100,100,100,65,100,60,1
1083,1083,,MJAW9G1A1I4I,"*U.S. MUNICIPAL DEBT MARKET SHRINKS AS BORROWING FALLS, FED SAYS",2013-03-07 17:22:28.793000+00:00,0,,,,,,,,,75,100,50,50,100,100,100,100,75,1
1084,1084,1163,MJCCO81A1I4I,*BULLARD SAYS FED'S BIG BALANCE SHEET COULD BE HARD TO UNWIND,2013-03-08 12:14:32.221000+00:00,1,,,-1,,,,,0,95,100,100,85,100,100,100,80,85,1
1085,1085,,MJO2GK0PLGNT,"*GOLDMAN, JPMORGAN MUST IMMEDIATELY ADDRESS WEAKNESSES, FED SAYS",2013-03-14 20:30:00.037000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
1088,1088,585,MJRIJ11A1I4I,*FISHER SAYS COST FROM LARGE BANKS `FAR EXCEEDS THE BENEFITS',2013-03-16 16:45:01.558000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
1089,1089,392,MJZ2AX1A1I4I,*BERNANKE SAYS FOMC SEES BOND-BUYING TIED TO ECONOMIC CRITERIA,2013-03-20 18:35:21.549000+00:00,1,,1,1,,,,,0,90,100,80,85,100,100,100,100,75,1
1090,1090,716,MJZ2MT1A1I4I,*BERNANKE SAYS FED MAY ADJUST RATE OF FLOW OF PURCHASES,2013-03-20 18:42:29.137000+00:00,1,,0,1,,,,,0,95,100,85,90,100,100,100,100,90,1
1091,1091,1205,MJZ4O71A1I4I,*BERNANKE SAYS HE HAS TRIED TO `DEPERSONALIZE' MONETARY POLICY,2013-03-20 19:26:31.058000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
1092,1092,201,MJZ2TN1A1I4I,*BERNANKE SAYS CYPRUS POSES `DIFFICULT SITUATION',2013-03-20 18:46:35.689000+00:00,1,-1,,-1,,,,,-1,85,95,100,80,100,100,100,100,75,1
1093,1093,270,MJZ4HN1A1I4I,*BERNANKE SAYS MONETARY IS A BLUNT TOOL WITH ASSET BUBBLES,2013-03-20 19:22:35.072000+00:00,1,,0,-1,,,,0,0,95,100,80,85,100,100,100,80,75,1
